feature,importance
vAm,0.21815074631888898
NHR,0.12132000119799644
VTI,0.10927771816997933
RAP,0.08004364484670641
sAPQ,0.07218475941837008
SPI,0.06384877097388673
vfo,0.06219855725000676
PPQ,0.059881108490951344
FTRI,0.0588324049595163
jita,0.04648947007568014
shdb,0.035003874506134756
jitt,0.021358573101865706
shim,0.02003702540321865
ATRI,0.018249116494898295
APQ,0.011280441110764285
sPPQ,0.0018437876811358705
