model,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std
Logistic Regression,0.7812121212121212,0.0915880370672015,0.9481399853068858,0.03472247898367452,0.777027027027027,0.11028219331407114,0.8495158953992556,0.0719722036234815,0.8687875375375376,0.08013029913874832
SVM (RBF Kernel),0.7587878787878788,0.09507062979988017,0.9354071604071604,0.04124590548103214,0.7606606606606607,0.1181352526551744,0.8333284468958967,0.0763383130917943,0.8613175675675675,0.08089152955915276
Random Forest,0.8704040404040404,0.02667049253240801,0.8712131647894552,0.021707279744048204,0.9891891891891891,0.02162162162162162,0.9261820247263286,0.015039404329423817,0.8618524774774775,0.09485446995335699
Gradient Boosting,0.8702020202020201,0.03992902590195039,0.8895388565221684,0.025625178415583583,0.9617117117117118,0.028274513200856267,0.924038628038628,0.02348346438796694,0.8636448948948949,0.0687213284803577
XGBoost,0.9016161616161616,0.030874080654153233,0.9014035557937996,0.024857225555083406,0.9891891891891891,0.02162162162162162,0.9429850850903483,0.017675508652884683,0.9033971471471471,0.06364975156438192
LightGBM,0.8880808080808082,0.04345266233375624,0.8994871794871795,0.027405326845587507,0.9726726726726728,0.02451451247082109,0.9345864661654135,0.025182752506058847,0.9065503003003004,0.07741930337177287
CatBoost,0.8881818181818181,0.02564065361977299,0.8917073170731709,0.0190556341313411,0.9836336336336335,0.013365893744305022,0.9353313353313354,0.014471383785999452,0.8743430930930931,0.08962337661387072
